Symbol
AA
AAL
AAWW
ABBV
ABR
ACI
ACLS
ACMR
ADT
AEM
AEO
AES
AG
AGI
AGIO
AGNC
AHT
AJRD
AKAM
ALC
ALGM
ALKS
ALNY
AM
AMBA
AMC
AMJ
AMKR
AMX
ANF
ANGI
APO
APPN
AQUA
AR
ARCB
ARCC
ARCT
ARI
ARMK
ARNA
ARRY
ASAN
ASO
ATUS
ATVI
AU
AUPH
AVT
AVXL
AX
AXTA
AY
AYX
AZEK
AZUL
BABA
BAC
BALY
BAND
BB
BBBY
BBY
BCRX
BE
BEKE
BGFV
BGS
BHC
BHF
BIDU
BIG
BIGC
BILI
BILL
BLDP
BLDR
BLMN
BLNK
BMRN
BMY
BOOT
BP
BSY
BTI
BTU
BWXT
BYND
C
CAH
CAKE
CAN
CARG
CC
CCJ
CCL
CCS
CCXI
CDAY
CDE
CDEV
CDK
CDNA
CELH
CENX
CEQP
CERN
CF
CFX
CGC
CGNX
CHGG
CHRW
CHWY
CIM
CLF
CODX
COMM
CORT
COTY
COWN
CP
CPB
CRNC
CROX
CRSR
CS
CSIQ
CSTM
CSX
CTXS
CUBE
CUK
CVE
CVNA
CWEN
CWH
CX
CYRX
CYTK
CZR
DAC
DAL
DB
DCP
DDD
DENN
DHI
DHT
DIS
DISCA
DISCK
DISH
DKNG
DOCU
DOMO
DOW
DT
DVAX
DVN
DXLG
EAT
EB
EBAY
EC
EDIT
EGHT
EGO
EHC
EHTH
ELAN
ELF
ELY
ENLC
ENPH
ENR
EPD
EQT
ERIC
ERJ
ESI
ESTC
ET
EVBG
EXC
EXEL
EXPI
F
FATE
FCX
FIS
FIVN
FL
FLGT
FOUR
FRPT
FSR
FTAI
FTCH
FUBO
FUTU
FUV
GDDY
GDRX
GDS
GEO
GES
GILD
GKOS
GLNG
GLW
GM
GME
GO
GOGO
GOLD
GOOS
GPN
GPRO
GPS
GRPN
GRWG
GSK
GT
GTN
HAIN
HAL
HBAN
HES
HIMX
HL
HLF
HLTH
HOG
HPQ
HRB
HSBC
HTA
HTZ
HUN
HUYA
HWM
IAA
IBM
ICPT
IFF
IGT
INMD
INSM
INTC
IOVA
IRBT
IRM
IRTC
IRWD
ITCI
JBLU
JD
JMIA
KBH
KC
KGC
KIRK
KLIC
KMI
KMX
KO
KOD
KRNT
LAC
LAZ
LC
LEN
LESL
LEVI
LGIH
LMND
LOGI
LUMN
LUV
LVS
LW
LXP
LYFT
M
MAC
MARA
MATX
MAXR
MGI
MGM
MGNI
MIME
MLCO
MMP
MOMO
MOS
MP
MPC
MPLX
MPW
MRK
MRVL
MT
MTH
MTSI
MU
NBIX
NCLH
NCNO
NCR
NEM
NET
NEWR
NKE
NKLA
NLS
NLY
NMRK
NOG
NOK
NOVA
NRZ
NTNX
NTRA
NUE
NUS
NVAX
NVDA
NVMI
NVRO
NVTA
NWL
NYCB
OHI
OI
OKTA
OLED
OLN
OMF
ONEM
OXY
PAA
PAAS
PACB
PAG
PAGP
PAGS
PBA
PBI
PBR
PCAR
PD
PDCO
PDD
PENN
PFE
PFGC
PFSI
PGNY
PHG
PHR
PING
PINS
PLAN
PLL
PLTR
PNFP
POST
PPL
PRFT
PRGO
PRTS
PRTY
PSEC
PSTG
PSTH
PTEN
PTON
PWR
PYPL
QCOM
QFIN
QGEN
QS
QTWO
R
RAD
RAMP
RCL
RDFN
REAL
REV
RIOT
RKT
RLJ
RMBS
RNG
ROKU
ROST
RTX
RUN
RUTH
SABR
SAGE
SAVA
SBRA
SBSW
SBUX
SCCO
SDGR
SE
SFIX
SHAK
SHLX
SI
SIRI
SJI
SKX
SKY
SKYW
SLB
SMAR
SNAP
SO
SONO
SPCE
SPLK
SPSC
SQ
SRPT
SSNC
SSRM
SSTK
STLD
STM
STNE
STNG
STWD
SUN
SWBI
SWCH
SWKS
SWTX
SYY
T
TAK
TCDA
TCOM
TCS
TDOC
TDS
TECK
TEVA
TGNA
THC
THS
TLRY
TLS
TM
TME
TMUS
TPX
TRMB
TROX
TRP
TRUP
TSE
TSEM
TTCF
TTD
TTM
TTWO
TUP
TWOU
TWTR
TX
TXG
TXRH
U
UA
UAA
UAL
UBER
UBS
UCTT
UMC
UNFI
UNIT
UNM
VAC
VALE
VCRA
VET
VFC
VIAC
VIPS
VIR
VIRT
VNOM
VOD
VOYA
VRM
VSH
VST
VSTO
VTRS
VVV
VXX
VZ
WAB
WB
WEN
WES
WFC
WLL
WM
WMB
WMG
WMT
WPM
WU
WY
X
XP
XPO
XRAY
XRX
YELP
YETI
YNDX
Z
ZEN
ZG
ZGNX
ZI
ZNGA
ZUO
